Date,Price,Open,High,Low,Vol.,Change %
2016-05-20,"6,156.32","6,053.35","6,156.50","6,053.35",780580000.0,1.70%
2016-05-19,"6,053.35","6,165.80","6,165.80","6,050.21",936490000.0,-1.82%
2016-05-18,"6,165.80","6,167.77","6,169.33","6,115.99",887530000.0,-0.03%
2016-05-17,"6,167.77","6,151.40","6,215.88","6,147.16",758810000.0,0.27%
2016-05-16,"6,151.40","6,138.50","6,157.24","6,092.21",445330000.0,0.21%
2016-05-13,"6,138.50","6,104.19","6,138.50","6,060.10",646360000.0,0.56%
2016-05-12,"6,104.19","6,162.49","6,193.21","6,094.14",698760000.0,-0.95%
2016-05-11,"6,162.49","6,156.65","6,172.72","6,131.22",573060000.0,0.09%
2016-05-10,"6,156.65","6,114.81","6,180.19","6,114.81",652990000.0,0.68%
2016-05-09,"6,114.81","6,125.70","6,177.60","6,108.37",669490000.0,-0.18%
2016-05-06,"6,125.70","6,117.25","6,129.90","6,054.74",720350000.0,0.14%
2016-05-05,"6,117.25","6,112.02","6,152.59","6,102.29",713230000.0,0.09%
2016-05-04,"6,112.02","6,185.59","6,185.59","6,100.76",775560000.0,-1.19%
2016-05-03,"6,185.59","6,241.89","6,270.03","6,159.86",895100000.0,-0.90%
2016-05-02,"6,241.89","6,322.40","6,322.40","6,241.89",865550000.0,-1.27%
2016-04-29,"6,241.89","6,322.40","6,322.40","6,241.89",865550000.0,-1.27%
2016-04-28,"6,322.40","6,319.91","6,322.40","6,224.47",861760000.0,0.04%
2016-04-27,"6,319.91","6,284.52","6,319.91","6,255.20",822360000.0,0.56%
2016-04-26,"6,284.52","6,260.92","6,297.88","6,260.92",776830000.0,0.38%
2016-04-25,"6,260.92","6,310.44","6,324.60","6,249.34",688680000.0,-0.78%
2016-04-22,"6,310.44","6,381.44","6,381.58","6,289.34",675930000.0,-1.11%
2016-04-21,"6,381.44","6,410.26","6,427.32","6,352.93",831610000.0,-0.45%
2016-04-20,"6,410.26","6,405.35","6,421.91","6,367.36",814750000.0,0.08%
2016-04-19,"6,405.35","6,353.52","6,418.25","6,353.49",808480000.0,0.82%
2016-04-18,"6,353.52","6,343.75","6,354.88","6,261.71",613390000.0,0.15%
2016-04-15,"6,343.75","6,365.10","6,372.52","6,328.19",780840000.0,-0.34%
2016-04-14,"6,365.10","6,362.89","6,373.93","6,335.40",853110000.0,0.03%
2016-04-13,"6,362.89","6,242.39","6,362.89","6,242.39",957140000.0,1.93%
2016-04-12,"6,242.39","6,200.12","6,248.27","6,176.28",690140000.0,0.68%
2016-04-11,"6,200.12","6,204.41","6,229.66","6,165.46",552590000.0,-0.07%
2016-04-08,"6,204.41","6,136.89","6,216.28","6,136.89",622130000.0,1.10%
2016-04-07,"6,136.89","6,161.63","6,204.11","6,119.38",761730000.0,-0.40%
2016-04-06,"6,161.63","6,091.23","6,161.63","6,091.23",738660000.0,1.16%
2016-04-05,"6,091.23","6,164.72","6,164.74","6,061.85",826020000.0,-1.19%
2016-04-04,"6,164.72","6,146.05","6,201.95","6,132.90",546680000.0,0.30%
2016-04-01,"6,146.05","6,174.90","6,174.90","6,076.89",747480000.0,-0.47%
2016-03-31,"6,174.90","6,203.17","6,203.39","6,149.82",746400000.0,-0.46%
2016-03-30,"6,203.17","6,105.90","6,221.80","6,105.90",803810000.0,1.59%
2016-03-29,"6,105.90","6,106.48","6,156.67","6,070.77",596330000.0,-0.01%
2016-03-28,"6,106.48","6,199.11","6,199.11","6,090.03",625280000.0,-1.49%
2016-03-25,"6,106.48","6,199.11","6,199.11","6,090.03",625280000.0,-1.49%
2016-03-24,"6,106.48","6,199.11","6,199.11","6,090.03",625280000.0,-1.49%
2016-03-23,"6,199.11","6,192.74","6,216.76","6,171.13",621500000.0,0.10%
2016-03-22,"6,192.74","6,184.58","6,193.47","6,110.39",738980000.0,0.13%
2016-03-21,"6,184.58","6,189.64","6,215.30","6,154.12",532070000.00000006,-0.08%
2016-03-18,"6,189.64","6,201.12","6,237.02","6,186.24",1130000000.0,-0.19%
2016-03-17,"6,201.12","6,175.49","6,220.02","6,125.70",832610000.0,0.42%
2016-03-16,"6,175.49","6,139.97","6,186.18","6,134.27",700760000.0,0.58%
2016-03-15,"6,139.97","6,174.57","6,174.57","6,114.77",700310000.0,-0.56%
2016-03-14,"6,174.57","6,139.79","6,197.83","6,139.79",688590000.0,0.57%
2016-03-11,"6,139.79","6,036.70","6,150.88","6,036.70",721700000.0,1.71%
2016-03-10,"6,036.70","6,146.32","6,203.40","6,036.70",1060000000.0,-1.78%
2016-03-09,"6,146.32","6,125.44","6,174.82","6,118.23",758330000.0,0.34%
2016-03-08,"6,125.44","6,182.40","6,182.45","6,101.89",913520000.0,-0.92%
2016-03-07,"6,182.40","6,199.43","6,216.10","6,125.64",817960000.0,-0.27%
2016-03-04,"6,199.43","6,130.46","6,204.14","6,130.46",866050000.0,1.13%
2016-03-03,"6,130.46","6,147.06","6,173.70","6,108.35",902840000.0,-0.27%
2016-03-02,"6,147.06","6,152.88","6,194.01","6,097.77",904550000.0,-0.09%
2016-03-01,"6,152.88","6,097.09","6,153.75","6,070.51",933630000.0,0.92%
2016-02-29,"6,097.09","6,096.01","6,104.98","6,033.21",941710000.0,0.02%
2016-02-26,"6,096.01","6,012.81","6,115.37","6,012.81",858940000.0,1.38%
2016-02-25,"6,012.81","5,867.18","6,028.97","5,867.18",999960000.0,2.48%
2016-02-24,"5,867.18","5,962.31","5,966.73","5,845.55",834680000.0,-1.60%
2016-02-23,"5,962.31","6,037.73","6,037.73","5,954.18",747390000.0,-1.25%
2016-02-22,"6,037.73","5,950.23","6,065.81","5,950.23",822110000.0,1.47%
2016-02-19,"5,950.23","5,971.95","6,001.22","5,916.26",692900000.0,-0.36%
2016-02-18,"5,971.95","6,030.32","6,036.46","5,948.25",809870000.0,-0.97%
2016-02-17,"6,030.32","5,862.17","6,030.32","5,862.17",948750000.0,2.87%
2016-02-16,"5,862.17","5,824.28","5,880.72","5,812.49",771100000.0,0.65%
2016-02-15,"5,824.28","5,707.60","5,844.53","5,707.60",724660000.0,2.04%
2016-02-12,"5,707.60","5,536.97","5,707.60","5,536.97",1080000000.0,3.08%
2016-02-11,"5,536.97","5,672.30","5,672.30","5,499.51",1070000000.0000001,-2.39%
2016-02-10,"5,672.30","5,632.19","5,712.78","5,616.88",994630000.0,0.71%
2016-02-09,"5,632.19","5,689.36","5,739.25","5,596.26",1150000000.0,-1.00%
2016-02-08,"5,689.36","5,848.06","5,882.43","5,666.13",995840000.0,-2.71%
2016-02-05,"5,848.06","5,898.76","5,945.90","5,839.36",983670000.0,-0.86%
2016-02-04,"5,898.76","5,837.14","5,938.12","5,831.12",1050000000.0,1.06%
2016-02-03,"5,837.14","5,922.01","5,924.58","5,791.04",1030000000.0,-1.43%
2016-02-02,"5,922.01","6,060.10","6,060.45","5,889.60",1020000000.0,-2.28%
2016-02-01,"6,060.10","6,083.79","6,115.11","5,993.84",833650000.0,-0.39%
2016-01-29,"6,083.79","5,931.78","6,083.79","5,931.78",1020000000.0,2.56%
2016-01-28,"5,931.78","5,990.37","6,020.54","5,889.37",918480000.0,-0.98%
